DATE,INSTRUMENT TYPE,SYMBOL,EXPIRY DATE,STRIKE,OPTION TYPE,SETTLEMENT PRICE
28-AUG-2023,FUTSTK,INDUSINDBK,31-AUG-2023,0,FF,1410.1000000
28-AUG-2023,FUTSTK,INDUSINDBK,28-SEP-2023,0,FF,1415.8500000
28-AUG-2023,FUTSTK,INDUSINDBK,26-OCT-2023,0,FF,1421.6000000
28-AUG-2023,FUTSTK,INDUSTOWER,31-AUG-2023,0,FF,172.7000000
28-AUG-2023,FUTSTK,INDUSTOWER,28-SEP-2023,0,FF,173.4000000
28-AUG-2023,FUTSTK,INDUSTOWER,26-OCT-2023,0,FF,174.1000000
28-AUG-2023,FUTSTK,INFY,31-AUG-2023,0,FF,1416.3000000
28-AUG-2023,FUTSTK,INFY,28-SEP-2023,0,FF,1422.0500000
28-AUG-2023,FUTSTK,INFY,26-OCT-2023,0,FF,1427.8500000
28-AUG-2023,FUTSTK,IOC,31-AUG-2023,0,FF,91.9500000
28-AUG-2023,FUTSTK,IOC,28-SEP-2023,0,FF,92.3500000
28-AUG-2023,FUTSTK,IOC,26-OCT-2023,0,FF,92.7000000
28-AUG-2023,FUTSTK,IRCTC,31-AUG-2023,0,FF,678.4000000
28-AUG-2023,FUTSTK,IRCTC,28-SEP-2023,0,FF,681.2000000
28-AUG-2023,FUTSTK,IRCTC,26-OCT-2023,0,FF,683.9500000
28-AUG-2023,FUTSTK,ITC,31-AUG-2023,0,FF,441.6000000
28-AUG-2023,FUTSTK,ITC,28-SEP-2023,0,FF,443.4000000
28-AUG-2023,FUTSTK,ITC,26-OCT-2023,0,FF,445.2000000
28-AUG-2023,FUTSTK,JINDALSTEL,31-AUG-2023,0,FF,656.1500000
28-AUG-2023,FUTSTK,JINDALSTEL,28-SEP-2023,0,FF,658.8500000
28-AUG-2023,FUTSTK,JINDALSTEL,26-OCT-2023,0,FF,661.5000000
28-AUG-2023,FUTSTK,JSWSTEEL,31-AUG-2023,0,FF,773.3500000
28-AUG-2023,FUTSTK,JSWSTEEL,28-SEP-2023,0,FF,776.5000000
28-AUG-2023,FUTSTK,JSWSTEEL,26-OCT-2023,0,FF,779.6500000
28-AUG-2023,FUTSTK,JUBLFOOD,31-AUG-2023,0,FF,487.0500000
28-AUG-2023,FUTSTK,JUBLFOOD,28-SEP-2023,0,FF,489.0000000
28-AUG-2023,FUTSTK,JUBLFOOD,26-OCT-2023,0,FF,491.0000000
28-AUG-2023,FUTSTK,KOTAKBANK,31-AUG-2023,0,FF,1791.1500000
28-AUG-2023,FUTSTK,KOTAKBANK,28-SEP-2023,0,FF,1798.4500000
28-AUG-2023,FUTSTK,KOTAKBANK,26-OCT-2023,0,FF,1805.7500000
28-AUG-2023,FUTSTK,L&TFH,31-AUG-2023,0,FF,123.8500000
28-AUG-2023,FUTSTK,L&TFH,28-SEP-2023,0,FF,124.4000000
28-AUG-2023,FUTSTK,L&TFH,26-OCT-2023,0,FF,124.9000000
28-AUG-2023,FUTSTK,LALPATHLAB,31-AUG-2023,0,FF,2187.7000000
28-AUG-2023,FUTSTK,LALPATHLAB,28-SEP-2023,0,FF,2196.6500000
28-AUG-2023,FUTSTK,LALPATHLAB,26-OCT-2023,0,FF,2205.6000000
28-AUG-2023,FUTSTK,LICHSGFIN,31-AUG-2023,0,FF,420.2000000
28-AUG-2023,FUTSTK,LICHSGFIN,28-SEP-2023,0,FF,421.9000000
28-AUG-2023,FUTSTK,LICHSGFIN,26-OCT-2023,0,FF,423.6500000
28-AUG-2023,FUTSTK,LT,31-AUG-2023,0,FF,2696.5500000
28-AUG-2023,FUTSTK,LT,28-SEP-2023,0,FF,2707.5500000
28-AUG-2023,FUTSTK,LT,26-OCT-2023,0,FF,2718.5500000
28-AUG-2023,FUTSTK,LTIM,31-AUG-2023,0,FF,5132.2000000
28-AUG-2023,FUTSTK,LTIM,28-SEP-2023,0,FF,5153.1000000
28-AUG-2023,FUTSTK,LTIM,26-OCT-2023,0,FF,5174.1000000
28-AUG-2023,FUTSTK,LTTS,31-AUG-2023,0,FF,4359.1500000
